MANDT,VBELN,POSNR,ARKTX,NETWR,WAERK,ERDAT,ERZET,ERZAT,KUNNR_ANA
100,1,10,Laptop-Dragonfly,1000,GBP,2024-11-14,16:32:06,23:32:06,17100001
100,2,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2024-11-14,23:30:59,04:30:59,17100001
100,3,10,Laptop MTO- Production-10-Dlfy,2000,GBP,2024-11-28,16:35:38,19:35:38,17100001
100,4,20,LAPTOP MTO Config.material Variant-20-df,330,GBP,2024-11-28,16:35:38,19:35:38,17100001
100,5,30,LAPTOP MTO Configurable material-20 Dfly,100,GBP,2024-11-28,16:35:38,19:35:38,17100001
100,6,10,MTO component 1-Stratergy-10,100000,GBP,2024-11-28,19:17:20,21:17:20,17100001
100,7,20,MTO component 2- Stratergy-10,110000,GBP,2024-11-28,19:17:48,22:17:48,17100001
100,8,30,Laptop MTO- Production-10-Dlfy,1100000,GBP,2024-11-28,19:17:48,22:17:48,17100001
100,9,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2024-11-28,21:09:56,01:09:56,17100001
100,10,20,MTO component 1-Stratergy-10,1100,GBP,2024-11-28,21:09:56,23:09:56,17100001
100,11,30,MTO component 2- Stratergy-10,1320,GBP,2024-11-28,21:09:56,01:09:56,17100001
100,12,10,Laptop MTO- Production-10-Dlfy,100,GBP,2024-12-06,00:10:39,03:10:39,17100001
100,13,10,'aptop MTO- Production-10-Dlfy,100,GBP,2024-12-06,22:38:48,02:38:48,17100001
100,14,10,Tablet 8gb Ram + 256gb ram,0,GBP,2024-12-12,23:01:04,01:01:04,17100001
100,15,10,Material with stock,10000,GBP,2025-01-25,03:23:28,05:23:28,17100002
100,16,10,Material with stock,5000,GBP,2025-01-25,03:28:36,06:28:36,17100002
100,17,10,Material with stock,150000,GBP,2025-02-06,03:45:12,06:45:12,17100001
100,18,1,Laptop MTO- Production-10-Dlfy,2000,GBP,2025-02-20,07:10:39,11:10:39,17100001
100,19,10,Laptop MTO- Production-10-Dlfy,4000,GBP,2025-04-10,17:05:43,20:05:43,17100001
100,20,10,Laptop MTO- Production-10-Dlfy,1200,GBP,2025-04-10,17:12:20,21:12:20,17100001
100,21,10,Laptop MTO- Production-10-Dlfy,2200,GBP,2025-04-11,09:35:15,13:35:15,17100001
100,22,10,Laptop MTO- Production-10-Dlfy,3300,GBP,2025-04-11,09:43:16,12:43:16,17100001
100,23,10,Laptop MTO- Production-10-Dlfy,1000,GBP,2025-04-14,06:16:02,09:16:02,17100001
100,24,10,Laptop MTO- Production-10-Dlfy,1300,GBP,2025-04-15,09:08:47,12:08:47,17100001
100,25,10,Laptop MTO- Production-10-Dlfy,2000,GBP,2025-04-21,10:11:43,13:11:43,17100001
100,26,10,Laptop MTO- Production-10-Dlfy,1100,GBP,2025-04-22,08:36:12,11:36:12,17100001
100,27,10,Laptop MTO- Production-10-Dlfy,1400,GBP,2025-04-23,09:07:52,11:07:52,17100001
100,28,10,Laptop MTO- Production-10-Dlfy,1500,GBP,2025-04-24,08:30:48,12:30:48,17100001
100,29,10,Laptop MTO- Production-10-Dlfy,1600,GBP,2025-04-25,09:58:38,12:58:38,17100001
100,30,10,Laptop MTO- Production-10-Dlfy,1200,GBP,2025-04-28,09:23:46,12:23:46,17100001
100,31,10,Laptop MTO- Production-10-Dlfy,1300,GBP,2025-04-30,11:38:10,15:38:10,17100001
100,32,10,Laptop MTO- Production-10-Dlfy,1200,GBP,2025-04-30,16:54:15,18:54:15,17100001
100,33,10,Laptop MTO- Production-10-Dlfy,1200,GBP,2025-05-06,15:23:08,17:23:08,17100001
100,34,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-05-28,12:30:50,14:30:50,17100001
100,35,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-05-29,15:38:34,17:38:34,17100001
100,36,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-05-30,15:48:06,18:48:06,17100001
100,37,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-06-03,17:02:39,21:02:39,17100001
100,38,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-06-03,17:13:53,19:13:53,17100001
100,39,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-06-04,16:47:17,20:47:17,17100001
100,40,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-06-04,16:57:35,19:57:35,17100001
100,41,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-06-09,14:37:08,16:37:08,17100001
100,42,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-06-09,14:47:08,16:47:08,17100001
100,43,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-06-10,13:44:10,17:44:10,17100001
100,44,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-06-11,14:02:37,17:02:37,17100001
100,45,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-06-11,14:07:15,18:07:15,17100001
100,46,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-06-12,14:25:11,18:25:11,17100001
100,47,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-06-12,15:20:15,18:20:15,17100001
100,48,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-06-16,13:57:51,17:57:51,17100001
100,49,10,Laptop MTO- Production-10-Dlfy,70000,GBP,2025-06-16,14:04:57,18:04:57,17100001
100,50,10,Laptop MTO- Production-10-Dlfy,70000,GBP,2025-06-17,15:16:47,18:16:47,17100001
100,51,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-06-17,15:26:37,17:26:37,17100001
100,52,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-06-19,08:17:45,11:17:45,17100001
